z (m),N^2 (s^-2),,,
,Ma 2006,Se 2006,Ma 2020,Se 2020
-984.6533499,0.000003,0.00001,0.000003,0.00001
-894.3338085,0.000003,0.00001,0.000003,0.00001
-805.1324629,0.000003,0.00001,0.000003,0.00001
-717.7845337,0.000003,0.00001,0.000003,0.00001
-633.009965,0.000003,0.00001,0.000003,0.00001
-551.5074907,0.000003,0.00001,0.000003,0.00001
-473.9488754,0.000003,0.00001,0.000003,0.00001
-400.9733771,0.000003,0.00001,0.000006,0.00002
-333.1824788,0.000003,0.000015,0.000022,0.000036
-271.1349306,0.000022,0.000033,0.000172,0.00014
-215.3421444,0.000044,0.000042,0.00008,0.000104
-166.2639787,0.000135,0.000174,0.00006,0.00009
-124.3049485,0.000108,0.000162,0.000097,0.0001
-89.810891,0.000135,0.00012,0.0002,0.00017
-63.06611506,0.000354,0.000225,0.000492,0.000386
-44.29105806,0.000577,0.00093,0.000605,0.000715
-33.64046888,0.000217,0.00025,0.000357,0.000237
-29.15934848,0.00007,0.000278,0.000168,0.000185
-23.00385391,0.000046,0.001312,0.000003,0.00213
-9.025245883,0.000006,0.000022,0.000003,0.000018
